filename,expected_result,backward_exists,forward_exists,num_conditions,cosyn_res,cosyn_time,cvc5_res,cvc5_time
/codeflaws/4-A-synthesis_realizable.c,realizable,yes,yes,1,realizable,0m0.036s,maybe unrealizable,0m32.844s,
/crafted/array_positive_sum_v1_loop_realizable.c,realizable,yes,yes,1,unknown,60m0.437s,unknown,60m0.023s,
/crafted/array_positive_sum_v2_loop_unrealizable.c,unrealizable,yes,yes,1,unrealizable,0m0.573s,unknown,60m0.013s,
/crafted/bat_bug3_realizable.c,realizable,yes,yes,2,realizable,0m0.035s,realizable,0m2.703s,
/crafted/bat_bug4_realizable.c,realizable,yes,yes,1,realizable,0m0.033s,realizable,0m1.410s,
/crafted/bat_bug_loop3_realizable.c,realizable,yes,yes,0,unrealizable,0m0.019s,maybe unrealizable,0m0.167s,
/crafted/bat_bug_loop5_realizable.c,realizable,yes,yes,2,realizable,0m0.010s,realizable,0m0.029s,
/crafted/bat_bug_loop_example_realizable.c,realizable,yes,yes,1,realizable,0m0.041s,unknown,60m0.017s,
/crafted/bat_bug_loop_v1_realizable.c,realizable,yes,yes,1,realizable,0m0.040s,unknown,60m0.020s,
/crafted/bat_bug_loop_v2_realizable.c,realizable,yes,yes,1,realizable,0m0.046s,unknown,60m0.012s,
/crafted/bat_bug_loop_yakir_realizable.c,realizable,yes,yes,1,realizable,0m0.051s,unknown,60m0.005s,
/crafted/bat_bug_v1_realizable.c,realizable,yes,yes,1,realizable,0m0.029s,realizable,0m0.725s,
/crafted/bat_bug_v2_realizable.c,realizable,yes,yes,1,realizable,0m0.031s,realizable,0m0.064s,
/crafted/binary_search_synthesis_v1_realizable.c,realizable,yes,yes,2,realizable,0m0.086s,unknown,60m0.013s,
/crafted/binary_search_synthesis_v2_realizable.c,realizable,yes,yes,1,realizable,0m0.448s,unknown,60m0.005s,
/crafted/binary_search_synthesis_v3_unrealizable.c,unrealizable,yes,yes,2,unrealizable,0m0.087s,unknown,60m0.007s,
/crafted/bubble_max_sort_v1_realizable.c,realizable,yes,yes,4,unknown,60m0.057s,unknown,60m0.006s,
/crafted/bubble_max_sort_v2_unrealizable.c,unrealizable,yes,yes,4,unrealizable,1m33.116s,unknown,60m0.009s,
/crafted/function_call_nontrivial_realizable.c,realizable,yes,yes,1,unrealizable,0m0.031s,unknown,60m0.013s,
/crafted/function_call_realizable.c,realizable,yes,yes,2,realizable,0m0.050s,realizable,0m0.628s,
/crafted/function_call_unrealizable.c,unrealizable,yes,yes,0,unrealizable,0m0.016s,maybe unrealizable,0m0.013s,
/crafted/if1_v1_realizable.c,realizable,yes,yes,1,realizable,0m0.024s,maybe unrealizable,0m0.453s,
/crafted/if2_v1_realizable.c,realizable,yes,yes,1,realizable,0m0.027s,maybe unrealizable,0m0.149s,
/crafted/loop_v1_unrealizable.c,unrealizable,yes,yes,2,unrealizable,0m0.033s,maybe unrealizable,0m0.137s,
/crafted/loop_with_assert_realizable.c,realizable,yes,yes,1,realizable,0m0.034s,realizable,0m1.510s,
/crafted/max_abs_plus_div_v1_realizable.c,realizable,yes,yes,1,realizable,0m0.064s,unknown,60m0.017s,
/crafted/max_abs_plus_div_v2_realizable.c,realizable,yes,yes,1,realizable,0m0.045s,unknown,60m0.003s,
/crafted/max_abs_plus_div_v3_unrealizable.c,unrealizable,yes,yes,1,unrealizable,0m0.034s,unknown,60m0.014s,
/crafted/max_abs_plus_div_v4_realizable.c,realizable,no,no,1,error,error,error,error,
/crafted/nonterminating_v1_realizable.c,realizable,yes,yes,2,realizable,0m0.010s,realizable,0m0.032s,
/crafted/one_branch_v1_unrealizable.c,unrealizable,yes,yes,0,unrealizable,0m0.020s,maybe unrealizable,0m0.013s,
/crafted/singleton_v1_unrealizable.c,unrealizable,yes,yes,1,unrealizable,0m0.024s,maybe unrealizable,0m0.018s,
/Qlose/Qlose_findC_v1_realizable.c,realizable,yes,yes,2,realizable,22m8.770s,unknown,60m0.010s,
/Qlose/Qlose_findC_v1_unrealizable.c,unrealizable,yes,yes,2,unrealizable,0m0.033s,unknown,60m0.027s,
/Qlose/Qlose_largestGap3_v1_realizable.c,realizable,yes,yes,7,unknown,8m4.854s,unknown,60m0.004s,
/sv-comp/ntdrivers-simplified/cdaudio_simpl1_synth.cil-1_unknown.c,unknown,yes,yes,1,realizable,0m3.503s,unknown,60m0.009s,
/sv-comp/ntdrivers-simplified/cdaudio_simpl1_synth.cil-2_unknown.c,unknown,yes,yes,1,realizable,0m3.503s,unknown,60m0.009s,
/sv-comp/ntdrivers-simplified/diskperf_simpl1_synth.cil_unknown.c,unknown,yes,yes,2,realizable,0m0.617s,unknown,60m0.011s,
/sv-comp/ntdrivers-simplified/floppy_simpl3_synth.cil-1_unknown.c,unknown,yes,yes,1,realizable,0m0.434s,realizable,0m1.234s,
/sv-comp/ntdrivers-simplified/floppy_simpl3_synth.cil-2_unknown.c,unknown,yes,yes,1,realizable,0m0.434s,realizable,0m1.234s,
/sv-comp/ntdrivers-simplified/floppy_simpl4_synth.cil-1_unknown.c,unknown,yes,yes,1,realizable,0m1.235s,unknown,60m0.019s,
/sv-comp/ntdrivers-simplified/floppy_simpl4_synth.cil-2_unknown.c,unknown,yes,yes,1,realizable,0m1.235s,unknown,60m0.019s,
/sv-comp/ntdrivers-simplified/kbfiltr_simpl1_synth.cil_unknown.c,unknown,yes,yes,1,realizable,0m0.031s,realizable,0m0.217s,
/sv-comp/ntdrivers-simplified/kbfiltr_simpl2_synth.cil-1_unknown.c,unknown,yes,yes,1,realizable,0m0.348s,unknown,60m0.006s,
/sv-comp/ntdrivers-simplified/kbfiltr_simpl2_synth.cil-2_unknown.c,unknown,yes,yes,1,realizable,0m0.348s,unknown,60m0.006s,
/sv-comp/Problem10_label58_synth_unknown.c,unknown,yes,yes,0,unrealizable,0m27.184s,unknown,0m0.072s,
/sv-comp/Problem10_label58_withloop_unknown.c,unknown,yes,yes,0,unknown,60m0.036s,unknown,0m0.051s,
/tcas/tcas_v10_realizable.c,realizable,yes,yes,8,realizable,0m5.013s,unknown,60m0.019s,
/tcas/tcas_v11_unknown.c,unknown,yes,yes,8,realizable,0m4.680s,unknown,60m0.021s,
/tcas/tcas_v12_unknown.c,unknown,yes,yes,1,realizable,0m2.202s,unknown,60m0.009s,
/tcas/tcas_v13_unknown.c,unknown,yes,yes,2,unrealizable,0m0.544s,unknown,60m0.007s,
/tcas/tcas_v14_unknown.c,unknown,yes,yes,2,unrealizable,0m0.120s,unknown,60m0.007s,
/tcas/tcas_v15_unknown.c,unknown,yes,yes,2,realizable,0m2.451s,unknown,60m0.008s,
/tcas/tcas_v16_unknown.c,unknown,yes,yes,2,unrealizable,0m0.311s,unknown,60m0.008s,
/tcas/tcas_v17_unknown.c,unknown,yes,yes,2,unrealizable,0m0.419s,unknown,60m0.007s,
/tcas/tcas_v18_unknown.c,unknown,yes,yes,2,unrealizable,0m0.397s,unknown,60m0.007s,
/tcas/tcas_v19_unknown.c,unknown,yes,yes,2,unrealizable,0m0.490s,unknown,60m0.008s,
/tcas/tcas_v1_realizable.c,realizable,yes,yes,1,realizable,0m2.407s,unknown,60m0.008s,
/tcas/tcas_v20_realizable.c,realizable,yes,yes,1,realizable,0m0.857s,unknown,60m0.008s,
/tcas/tcas_v21_unknown.c,unknown,yes,yes,1,realizable,0m0.777s,unknown,60m0.008s,
/tcas/tcas_v22_unknown.c,unknown,yes,yes,1,realizable,0m0.766s,unknown,60m0.007s,
/tcas/tcas_v23_unknown.c,unknown,yes,yes,1,realizable,0m2.216s,unknown,60m0.007s,
/tcas/tcas_v24_unknown.c,unknown,yes,yes,1,realizable,0m2.210s,unknown,60m0.007s,
/tcas/tcas_v25_realizable.c,realizable,yes,yes,1,realizable,0m2.374s,unknown,60m0.006s,
/tcas/tcas_v26_unknown.c,unknown,yes,yes,1,realizable,0m2.101s,unknown,60m0.010s,
