filename,expected_result,backward_exists,forward_exists,num_conditions,num_loops,cosyn_res,cosyn_time,cvc5_res,cvc5_time,repairExamples_res,repairExamples_time,sketch_res,sketch_time
/codeflaws/4-A-synthesis_realizable.c,realizable,yes,yes,1, 0,realizable,0m0.037s,realizable,0m0.788s,error,error,error,error,
/crafted/array_positive_sum_v1_loop_realizable.c,realizable,yes,yes,1, 3,unknown,60m0.192s,unknown,60m0.003s,error,error,error,error,
/crafted/array_positive_sum_v2_loop_unrealizable.c,unrealizable,yes,yes,1, 3,unrealizable,0m0.584s,unknown,60m0.018s,error,error,error,error,
/crafted/bat_bug3_realizable.c,realizable,yes,yes,2, 0,realizable,0m0.032s,realizable,0m2.520s,error,error,error,error,
/crafted/bat_bug4_realizable.c,realizable,yes,yes,1, 0,realizable,0m0.030s,realizable,0m1.054s,error,error,error,error,
/crafted/bat_bug_loop5_realizable.c,realizable,yes,yes,2, 1,realizable,0m0.010s,realizable,0m0.026s,error,error,error,error,
/crafted/bat_bug_loop_example_realizable.c,realizable,yes,yes,1, 1,realizable,0m0.051s,unknown,60m0.017s,error,error,error,error,
/crafted/bat_bug_loop_v1_realizable.c,realizable,yes,yes,1, 1,realizable,0m0.064s,unknown,60m0.018s,error,error,error,error,
/crafted/bat_bug_loop_v2_realizable.c,realizable,yes,yes,1, 1,realizable,0m0.043s,unknown,60m0.010s,error,error,error,error,
/crafted/bat_bug_loop_yakir_realizable.c,realizable,yes,yes,1, 1,realizable,0m0.049s,unknown,60m0.006s,error,error,error,error,
/crafted/bat_bug_v1_realizable.c,realizable,yes,yes,1, 0,realizable,0m0.029s,realizable,0m0.912s,error,error,error,error,
/crafted/bat_bug_v2_realizable.c,realizable,yes,yes,1, 0,realizable,0m0.033s,realizable,0m1.713s,error,error,error,error,
/crafted/binary_search_synthesis_v1_realizable.c,realizable,yes,yes,2, 4,realizable,0m0.086s,unknown,60m0.028s,error,error,error,error,
/crafted/binary_search_synthesis_v2_realizable.c,realizable,yes,yes,1, 4,realizable,0m0.450s,unknown,60m0.008s,error,error,error,error,
/crafted/binary_search_synthesis_v3_unrealizable.c,unrealizable,yes,yes,2, 4,unrealizable,0m0.085s,unknown,60m0.025s,error,error,error,error,
/crafted/bubble_max_sort_v1_realizable.c,realizable,yes,yes,4, 7,unknown,60m0.054s,unknown,60m0.014s,error,error,error,error,
/crafted/bubble_max_sort_v2_unrealizable.c,unrealizable,yes,yes,4, 7,unrealizable,1m54.818s,unknown,60m0.009s,error,error,error,error,
/crafted/function_call_nontrivial_realizable.c,realizable,yes,yes,2, 0,realizable,0m0.039s,realizable,0m2.334s,error,error,error,error,
/crafted/function_call_realizable.c,realizable,yes,yes,2, 0,realizable,0m0.038s,realizable,0m0.563s,error,error,error,error,
/crafted/function_call_unrealizable.c,unrealizable,yes,yes,2, 0,realizable,0m0.010s,realizable,0m0.036s,error,error,error,error,
/crafted/if1_v1_realizable.c,realizable,yes,yes,1, 0,realizable,0m0.028s,realizable,0m0.422s,error,error,error,error,
/crafted/if2_v1_realizable.c,realizable,yes,yes,1, 0,realizable,0m0.023s,realizable,0m0.428s,error,error,error,error,
/crafted/loop_v1_unrealizable.c,unrealizable,yes,yes,2, 1,unrealizable,0m0.025s,maybe unrealizable,0m0.356s,error,error,error,error,
/crafted/loop_with_assert_realizable.c,realizable,yes,yes,1, 1,realizable,0m0.043s,realizable,0m1.826s,error,error,error,error,
/crafted/max_abs_plus_div_v1_realizable.c,realizable,yes,yes,1, 1,realizable,0m0.059s,unknown,60m0.011s,error,error,error,error,
/crafted/max_abs_plus_div_v2_realizable.c,realizable,yes,yes,1, 1,realizable,0m0.054s,unknown,60m0.011s,error,error,error,error,
/crafted/max_abs_plus_div_v3_unrealizable.c,unrealizable,yes,yes,1, 1,unrealizable,0m0.060s,unknown,60m0.010s,error,error,error,error,
/crafted/max_abs_plus_div_v4_realizable.c,realizable,yes,yes,1, 1,realizable,0m0.139s,unknown,60m0.007s,error,error,error,error,
/crafted/nonterminating_v1_realizable.c,realizable,yes,yes,2, 1,realizable,0m0.014s,realizable,0m0.036s,error,error,error,error,
/crafted/one_branch_v1_unrealizable.c,unrealizable,yes,yes,1, 0,unrealizable,0m0.023s,maybe unrealizable,0m0.022s,error,error,error,error,
/crafted/singleton_v1_unrealizable.c,unrealizable,yes,yes,1, 0,unrealizable,0m0.020s,maybe unrealizable,0m0.016s,error,error,error,error,
/Qlose/Qlose_findC_v1_realizable.c,realizable,yes,yes,2, 3,realizable,33m54.224s,unknown,60m0.003s,error,error,error,error,
/Qlose/Qlose_findC_v1_unrealizable.c,unrealizable,yes,yes,2, 3,unrealizable,0m0.032s,unknown,60m0.010s,error,error,error,error,
/Qlose/Qlose_largestGap3_v1_realizable.c,realizable,yes,yes,7, 3,unknown,11m11.024s,unknown,60m0.005s,error,error,error,error,
