filename,expected_result,backward_exists,forward_exists,num_conditions,num_loops,sketch_res,sketch_time
/crafted/4-A-synthesis_realizable.c,realizable,yes,yes,1, 0,unknown,0m0.257s,
/crafted/array_positive_sum_v1_loop_realizable.c,realizable,yes,yes,1, 3,unknown,0m0.262s,
/crafted/array_positive_sum_v2_loop_unrealizable.c,unrealizable,yes,yes,1, 3,unknown,0m0.255s,
/crafted/bat_bug3_realizable.c,realizable,yes,yes,2, 0,realizable,0m0.546s,
/crafted/bat_bug4_realizable.c,realizable,yes,yes,1, 0,realizable,0m0.978s,
/crafted/bat_bug_loop5_realizable.c,realizable,yes,yes,2, 1,unknown,0m0.219s,
/crafted/bat_bug_loop_example_realizable.c,realizable,yes,yes,1, 1,unknown,0m1.446s,
/crafted/bat_bug_loop_v1_realizable.c,realizable,yes,yes,1, 1,unknown,0m1.410s,
/crafted/bat_bug_loop_v2_realizable.c,realizable,yes,yes,1, 1,unknown,0m1.416s,
/crafted/bat_bug_loop_yakir_realizable.c,realizable,yes,yes,1, 1,unknown,0m0.223s,
/crafted/bat_bug_v1_realizable.c,realizable,yes,yes,1, 0,realizable,0m0.981s,
/crafted/bat_bug_v2_realizable.c,realizable,yes,yes,1, 0,realizable,0m0.514s,
/crafted/binary_search_synthesis_v1_realizable.c,realizable,yes,yes,2, 4,unknown,0m0.197s,
/crafted/binary_search_synthesis_v2_realizable.c,realizable,yes,yes,1, 4,unknown,0m0.173s,
/crafted/binary_search_synthesis_v3_unrealizable.c,unrealizable,yes,yes,2, 4,unknown,0m0.178s,
/crafted/bubble_max_sort_v1_realizable.c,realizable,yes,yes,4, 7,unknown,0m0.178s,
/crafted/bubble_max_sort_v2_unrealizable.c,unrealizable,yes,yes,4, 7,unknown,0m0.176s,
/crafted/function_call_nontrivial_realizable.c,realizable,yes,yes,2, 0,unknown,0m0.243s,
/crafted/function_call_realizable.c,realizable,yes,yes,2, 0,unknown,0m0.270s,
/crafted/function_call_unrealizable.c,unrealizable,yes,yes,2, 0,unknown,0m0.245s,
/crafted/if1_v1_realizable.c,realizable,yes,yes,1, 0,realizable,0m0.499s,
/crafted/if2_v1_realizable.c,realizable,yes,yes,1, 0,realizable,0m0.465s,
/crafted/loop_v1_unrealizable.c,unrealizable,yes,yes,2, 1,unknown,0m1.486s,
/crafted/loop_with_assert_realizable.c,realizable,yes,yes,1, 1,unknown,0m0.276s,
/crafted/max_abs_plus_div_v1_realizable.c,realizable,yes,yes,1, 1,unknown,0m1.429s,
/crafted/max_abs_plus_div_v2_realizable.c,realizable,yes,yes,1, 1,unknown,0m0.240s,
/crafted/max_abs_plus_div_v3_unrealizable.c,unrealizable,yes,yes,1, 1,unknown,0m1.423s,
/crafted/max_abs_plus_div_v4_realizable.c,realizable,yes,yes,1, 1,unknown,0m0.264s,
/crafted/max_abs_plus_div_v5_realizable.c,realizable,yes,yes,2, 1,unknown,0m0.280s,
/crafted/nonterminating_v1_realizable.c,realizable,yes,yes,2, 1,realizable,0m0.584s,
/crafted/one_branch_v1_unrealizable.c,unrealizable,yes,yes,1, 0,unknown,0m1.422s,
/crafted/Qlose_findC_v1_realizable.c,realizable,yes,yes,2, 3,unknown,0m0.173s,
/crafted/Qlose_findC_v1_unrealizable.c,unrealizable,yes,yes,2, 3,unknown,0m0.176s,
/crafted/Qlose_largestGap3_v1_realizable.c,realizable,yes,yes,7, 3,unknown,0m0.283s,
/crafted/singleton_v1_unrealizable.c,unrealizable,yes,yes,1, 0,unknown,0m1.436s,
/sv-comp/locks/test_locks_10.c,unknown,yes,yes,1, 1,unknown,0m0.248s,
/sv-comp/locks/test_locks_11.c,unknown,yes,yes,1, 1,unknown,0m0.444s,
/sv-comp/locks/test_locks_12.c,unknown,yes,yes,1, 1,unknown,0m0.246s,
/sv-comp/locks/test_locks_13.c,unknown,yes,yes,1, 1,unknown,0m0.274s,
/sv-comp/locks/test_locks_14-1.c,unknown,yes,yes,1, 1,unknown,0m0.240s,
/sv-comp/locks/test_locks_14-2.c,unknown,yes,yes,2, 1,unknown,0m0.251s,
/sv-comp/locks/test_locks_15-1.c,unknown,yes,yes,2, 1,unknown,0m0.255s,
/sv-comp/locks/test_locks_15-2.c,unknown,yes,yes,1, 1,unknown,0m0.242s,
/sv-comp/locks/test_locks_5.c,unknown,yes,yes,1, 1,unknown,0m0.242s,
/sv-comp/locks/test_locks_6.c,unknown,yes,yes,1, 1,unknown,0m0.294s,
/sv-comp/locks/test_locks_7.c,unknown,yes,yes,1, 1,unknown,0m0.232s,
/sv-comp/locks/test_locks_8.c,unknown,yes,yes,1, 1,unknown,0m0.229s,
/sv-comp/locks/test_locks_9.c,unknown,yes,yes,1, 1,unknown,0m0.306s,
/sv-comp/ntdrivers-simplified/cdaudio_simpl1_synth_cil-1_unknown.c,unknown,yes,yes,1, 1,unknown,0m0.302s,
/sv-comp/ntdrivers-simplified/cdaudio_simpl1_synth_cil-2_unknown.c,unknown,yes,yes,1, 1,unknown,0m0.291s,
/sv-comp/ntdrivers-simplified/diskperf_simpl1_synth_cil_unknown.c,unknown,yes,yes,2, 1,unknown,0m0.270s,
/sv-comp/ntdrivers-simplified/floppy_simpl3_synth_cil-1_unknown.c,unknown,yes,yes,1, 1,unknown,0m0.286s,
/sv-comp/ntdrivers-simplified/floppy_simpl3_synth_cil-2_unknown.c,unknown,yes,yes,1, 1,unknown,0m0.272s,
/sv-comp/ntdrivers-simplified/floppy_simpl4_synth_cil-1_unknown.c,unknown,yes,yes,1, 1,unknown,0m0.296s,
/sv-comp/ntdrivers-simplified/floppy_simpl4_synth_cil-2_unknown.c,unknown,yes,yes,1, 1,unknown,0m0.269s,
/sv-comp/ntdrivers-simplified/kbfiltr_simpl1_synth_cil_unknown.c,unknown,yes,yes,1, 0,unknown,0m0.297s,
/sv-comp/ntdrivers-simplified/kbfiltr_simpl2_synth_cil-1_unknown.c,unknown,yes,yes,1, 0,unknown,0m0.254s,
/sv-comp/ntdrivers-simplified/kbfiltr_simpl2_synth_cil-2_unknown.c,unknown,yes,yes,1, 0,unknown,0m0.326s,
/sv-comp/ssh-simplified/s3_clnt_1_cil-1.c,unknown,yes,yes,1, 1,unknown,0m0.302s,
/sv-comp/ssh-simplified/s3_clnt_1_cil-2.c,unknown,yes,yes,1, 1,unknown,0m0.278s,
/sv-comp/ssh-simplified/s3_clnt_2_cil-1.c,unknown,yes,yes,1, 1,unknown,0m0.279s,
/sv-comp/ssh-simplified/s3_clnt_2_cil-2.c,unknown,yes,yes,1, 1,unknown,0m0.277s,
/sv-comp/ssh-simplified/s3_clnt_3_cil-1.c,unknown,yes,yes,1, 1,unknown,0m0.248s,
/sv-comp/ssh-simplified/s3_clnt_3_cil-2.c,unknown,yes,yes,1, 1,unknown,0m0.304s,
/sv-comp/ssh-simplified/s3_clnt_3_cil-3.c,unknown,yes,yes,1, 1,unknown,0m0.283s,
/sv-comp/ssh-simplified/s3_clnt_4_cil-1.c,unknown,yes,yes,1, 1,unknown,0m0.279s,
/sv-comp/ssh-simplified/s3_clnt_4_cil-2.c,unknown,yes,yes,1, 1,unknown,0m0.284s,
/sv-comp/ssh-simplified/s3_srvr_10_cil.c,unknown,yes,yes,1, 1,unknown,0m0.304s,
/sv-comp/ssh-simplified/s3_srvr_11_cil.c,unknown,yes,yes,1, 1,unknown,0m0.298s,
/sv-comp/ssh-simplified/s3_srvr_12_cil.c,unknown,yes,yes,1, 1,unknown,0m0.280s,
/sv-comp/ssh-simplified/s3_srvr_13_cil.c,unknown,yes,yes,1, 1,unknown,0m0.333s,
/sv-comp/ssh-simplified/s3_srvr_14_cil.c,unknown,yes,yes,1, 1,unknown,0m0.279s,
/sv-comp/ssh-simplified/s3_srvr_1a_cil.c,unknown,yes,yes,2, 1,unknown,0m0.245s,
/sv-comp/ssh-simplified/s3_srvr_1b_cil.c,unknown,yes,yes,5, 1,unknown,0m0.237s,
/sv-comp/ssh-simplified/s3_srvr_1_cil-1.c,unknown,yes,yes,1, 1,unknown,0m0.322s,
/sv-comp/ssh-simplified/s3_srvr_1_cil-2.c,unknown,yes,yes,22, 1,unknown,0m0.274s,
